1941j             "1941: Counter Attack (Japan)"
1941              "1941: Counter Attack (World 900227)"
1941u             "1941: Counter Attack (USA 900227)"
1941r1            "1941: Counter Attack (World)"
cworld2ja         "Adventure Quiz Capcom World 2 (Japan 920611, B-Board 90629B-3, no battery)"
cworld2j          "Adventure Quiz Capcom World 2 (Japan 920611)"
cworld2jb         "Adventure Quiz Capcom World 2 (Japan 920611, B-Board 91634B-2)"
area88r           "Area 88 (Japan Resale Ver.)"
unsquad           "U.N. Squadron (USA)"
area88            "Area 88 (Japan)"
punisherbz        "Biaofeng Zhanjing (Chinese bootleg of The Punisher)"
punisher          "The Punisher (World 930422)"
qsound_hle        "QSound (HLE)"
dinoa             "Cadillacs and Dinosaurs (Asia TW 930223)"
dino              "Cadillacs and Dinosaurs (World 930201)"
dinou             "Cadillacs and Dinosaurs (USA 930201)"
dinoj             "Cadillacs: Kyouryuu Shin Seiki (Japan 930201)"
captcommb         "Captain Commando (bootleg)"
captcomm          "Captain Commando (World 911202)"
captcommjr1       "Captain Commando (Japan 910928)"
captcommj         "Captain Commando (Japan 911202)"
captcommu         "Captain Commando (USA 910928)"
captcommr1        "Captain Commando (World 911014)"
cawingur1         "Carrier Air Wing (USA 901012)"
cawing            "Carrier Air Wing (World 901012)"
cawingu           "Carrier Air Wing (USA 901130)"
cawingr1          "Carrier Air Wing (World 901009)"
chikij            "Chiki Chiki Boys (Japan 900619)"
mtwins            "Mega Twins (World 900619)"
daimakair         "Daimakaimura (Japan Resale Ver.)"
ghouls            "Ghouls'n Ghosts (World)"
daimakai          "Daimakaimura (Japan)"
dinohunt          "Dinosaur Hunter (Chinese bootleg of Cadillacs and Dinosaurs)"
dynwara           "Dynasty Wars (USA, B-Board 88622B-3)"
dynwar            "Dynasty Wars (USA, B-Board 89624B-?)"
ffightj1          "Final Fight (Japan 900112)"
ffight            "Final Fight (World, set 1)"
ffightj2          "Final Fight (Japan 900305)"
ffightj3          "Final Fight (Japan 900405)"
ffightj4          "Final Fight (Japan 900613)"
ffightj           "Final Fight (Japan)"
ffightua          "Final Fight (USA 900112)"
ffightub          "Final Fight (USA 900424)"
ffightuc          "Final Fight (USA 900613)"
ffightu           "Final Fight (USA, set 1)"
ffightu1          "Final Fight (USA, set 2)"
ffighta           "Final Fight (World, set 2)"
forgottnua        "Forgotten Worlds (USA, B-Board 88618B-2, Rev. A)"
forgottn          "Forgotten Worlds (World, newer)"
forgottnuaa       "Forgotten Worlds (USA, B-Board 88618B-2, Rev. AA)"
forgottnu1        "Forgotten Worlds (USA, B-Board 88618B-2, Rev. C)"
forgottnuc        "Forgotten Worlds (USA, B-Board 88618B-2, Rev. C)"
forgottnue        "Forgotten Worlds (USA, B-Board 88618B-2, Rev. E)"
forgottnu         "Forgotten Worlds (USA, B-Board 88621B-2, Rev. C)"
forgottna         "Forgotten Worlds (World)"
ganbare           "Ganbare! Marine Kun (Japan 2K0411)"
ghoulsu           "Ghouls'n Ghosts (USA)"
wofhfh            "Huo Feng Huang (Chinese bootleg of Sangokushi II)"
wof               "Warriors of Fate (World 921031)"
knightsb2         "Knights of the Round (bootleg, World 911127)"
knights           "Knights of the Round (World 911127)"
knightsja         "Knights of the Round (Japan 911127, B-Board 89625B-1)"
knightsj          "Knights of the Round (Japan 911127, B-Board 91634B-2)"
knightsu          "Knights of the Round (USA 911127)"
lostwrldo         "Lost Worlds (Japan Old Ver.)"
lostwrld          "Lost Worlds (Japan)"
mswordj           "Magic Sword: Heroic Fantasy (Japan 900623)"
msword            "Magic Sword: Heroic Fantasy (World 900725)"
mswordu           "Magic Sword: Heroic Fantasy (USA 900725)"
mswordr1          "Magic Sword: Heroic Fantasy (World 900623)"
megamana          "Mega Man: The Power Battle (CPS1, Asia 951006)"
megaman           "Mega Man: The Power Battle (CPS1, USA 951006)"
mercsur1          "Mercs (USA 900302)"
mercs             "Mercs (World 900302)"
mercsu            "Mercs (USA 900608)"
mbombrdj          "Muscle Bomber Duo: Heat Up Warriors (Japan 931206)"
mbombrd           "Muscle Bomber Duo: Ultimate Team Battle (World 931206)"
mbomberj          "Muscle Bomber: The Body Explosion (Japan 930713)"
slammast          "Saturday Night Slam Masters (World 930713)"
nemoj             "Nemo (Japan 901120)"
nemo              "Nemo (World 901130)"
nemor1            "Nemo (World 901109)"
pang3b            "Pang! 3 (bootleg)"
pang3             "Pang! 3 (Euro 950601)"
pang3r1           "Pang! 3 (Euro 950511)"
pang3j            "Pang! 3: Kaitou Tachi no Karei na Gogo (Japan 950511)"
pnickj            "Pnickies (Japan 940608)"
pokonyan          "Pokonyan! Balloon (Japan 940322)"
qadjr             "Quiz & Dragons: Capcom Quiz Game (Japan Resale Ver. 940921)"
qad               "Quiz & Dragons: Capcom Quiz Game (USA 920701)"
qtono2j           "Quiz Tonosama no Yabou 2: Zenkoku-ban (Japan 950123)"
rockmanj          "Rockman: The Power Battle (CPS1, Japan 950922)"
wofa              "Sangokushi II (Asia 921005)"
slammastu         "Saturday Night Slam Masters (USA 930713)"
mercsj            "Senjou no Ookami II (Japan 900302)"
sfach             "Street Fighter Alpha: Warriors' Dreams (CPS Changer, Publicity USA 950727)"
sfzch             "Street Fighter Zero (CPS Changer, Japan 951020)"
sf2rules          "Street Fighter II: The World Warrior (bootleg with rules screen)"
sf2               "Street Fighter II: The World Warrior (World 910522)"
sf2ja             "Street Fighter II: The World Warrior (Japan 910214)"
sf2jc             "Street Fighter II: The World Warrior (Japan 910306)"
sf2jf             "Street Fighter II: The World Warrior (Japan 910411)"
sf2jh             "Street Fighter II: The World Warrior (Japan 910522)"
sf2j              "Street Fighter II: The World Warrior (Japan 911210, CPS-B-13)"
sf2j17            "Street Fighter II: The World Warrior (Japan 911210, CPS-B-17)"
sf2jl             "Street Fighter II: The World Warrior (Japan 920312)"
sf2qp1            "Street Fighter II: The World Warrior (Quicken Pt-I, bootleg)"
sf2qp2            "Street Fighter II: The World Warrior (Quicken, bootleg)"
sf2rk             "Street Fighter II: The World Warrior (RK, bootleg)"
sf2ebbl           "Street Fighter II: The World Warrior (TAB Austria, bootleg, set 1)"
sf2stt            "Street Fighter II: The World Warrior (TAB Austria, bootleg, set 2)"
sf2ebbl2          "Street Fighter II: The World Warrior (TAB Austria, bootleg, set 3)"
sf2ebbl3          "Street Fighter II: The World Warrior (TAB Austria, bootleg, set 4)"
sf2thndr          "Street Fighter II: The World Warrior (Thunder Edition, bootleg, set 1)"
sf2thndr2         "Street Fighter II: The World Warrior (Thunder Edition, bootleg, set 2)"
sf2ua             "Street Fighter II: The World Warrior (USA 910206)"
sf2ub             "Street Fighter II: The World Warrior (USA 910214)"
sf2ue             "Street Fighter II: The World Warrior (USA 910228)"
sf2uc             "Street Fighter II: The World Warrior (USA 910306)"
sf2ud             "Street Fighter II: The World Warrior (USA 910318)"
sf2uf             "Street Fighter II: The World Warrior (USA 910411)"
sf2ug             "Street Fighter II: The World Warrior (USA 910522, Rev. G)"
sf2uh             "Street Fighter II: The World Warrior (USA 910522, Rev. H)"
sf2ui             "Street Fighter II: The World Warrior (USA 910522, Rev. I)"
sf2uk             "Street Fighter II: The World Warrior (USA 911101)"
sf2em             "Street Fighter II: The World Warrior (World 910129)"
sf2en             "Street Fighter II: The World Warrior (World 910204, conversion)"
sf2ea             "Street Fighter II: The World Warrior (World 910204)"
sf2eb             "Street Fighter II: The World Warrior (World 910214)"
sf2ee             "Street Fighter II: The World Warrior (World 910228)"
sf2ed             "Street Fighter II: The World Warrior (World 910318)"
sf2hfj            "Street Fighter II' Turbo: Hyper Fighting (Japan 921209)"
sf2hf             "Street Fighter II': Hyper Fighting (World 921209)"
sf2cebltw         "Street Fighter II': Champion Edition ('Taiwan' bootleg with PAL)"
sf2ce             "Street Fighter II': Champion Edition (World 920513)"
sf2accp2          "Street Fighter II': Champion Edition (Accelerator Pt.II, bootleg)"
sf2acc            "Street Fighter II': Champion Edition (Accelerator!, bootleg, set 1)"
sf2acca           "Street Fighter II': Champion Edition (Accelerator!, bootleg, set 2)"
sf2amf            "Street Fighter II': Champion Edition (Alpha Magic-F, bootleg)"
sf2level          "Street Fighter II': Champion Edition (bootleg with level selection)"
sf2dongb          "Street Fighter II': Champion Edition (Dongfang Bubai protection, bootleg)"
sf2dkot2          "Street Fighter II': Champion Edition (Double K.O. Turbo II, bootleg)"
sf2bhh            "Street Fighter II': Champion Edition (Hung Hsi, bootleg)"
sf2ceja           "Street Fighter II': Champion Edition (Japan 920322)"
sf2cejb           "Street Fighter II': Champion Edition (Japan 920513)"
sf2cejc           "Street Fighter II': Champion Edition (Japan 920803)"
sf2amf2           "Street Fighter II': Champion Edition (L735 Test Rom, bootleg)"
sf2m10            "Street Fighter II': Champion Edition (M10, bootleg)"
sf2m2             "Street Fighter II': Champion Edition (M2, bootleg)"
sf2m3             "Street Fighter II': Champion Edition (M3, bootleg)"
sf2m4             "Street Fighter II': Champion Edition (M4, bootleg)"
sf2m5             "Street Fighter II': Champion Edition (M5, bootleg)"
sf2m6             "Street Fighter II': Champion Edition (M6, bootleg)"
sf2m7             "Street Fighter II': Champion Edition (M7, bootleg)"
sf2m8             "Street Fighter II': Champion Edition (M8, bootleg)"
sf2cems6a         "Street Fighter II': Champion Edition (Mstreet-6, bootleg, set 1)"
sf2cems6b         "Street Fighter II': Champion Edition (Mstreet-6, bootleg, set 2)"
sf2cems6c         "Street Fighter II': Champion Edition (Mstreet-6, bootleg, set 3)"
sf2ceblp          "Street Fighter II': Champion Edition (protected bootleg on non-dash board)"
sf2rb             "Street Fighter II': Champion Edition (Rainbow, bootleg, set 1)"
sf2rb2            "Street Fighter II': Champion Edition (Rainbow, bootleg, set 2)"
sf2rb3            "Street Fighter II': Champion Edition (Rainbow, bootleg, set 3)"
sf2redp2          "Street Fighter II': Champion Edition (Red Wave PtII, bootleg)"
sf2red            "Street Fighter II': Champion Edition (Red Wave, bootleg)"
sf2cet            "Street Fighter II': Champion Edition (Taiwan 920313)"
sf2ceupl          "Street Fighter II': Champion Edition (UPL bootleg)"
sf2ceua           "Street Fighter II': Champion Edition (USA 920313)"
sf2ceub           "Street Fighter II': Champion Edition (USA 920513)"
sf2ceuc           "Street Fighter II': Champion Edition (USA 920803)"
sf2v004           "Street Fighter II': Champion Edition (V004, bootleg)"
sf2ceea           "Street Fighter II': Champion Edition (World 920313)"
sf2koryu          "Street Fighter II': Champion Edition (Xiang Long, Chinese bootleg)"
sf2yyc            "Street Fighter II': Champion Edition (YYC, bootleg)"
sf2hfu            "Street Fighter II': Hyper Fighting (USA 921209)"
sfzbch            "Street Fighter Zero (CPS Changer, Brazil 950727)"
ffightjh          "Street Smart / Final Fight (Japan, hack)"
strider           "Strider (USA, B-Board 89624B-2)"
striderua         "Strider (USA, B-Board 89624B-3)"
strideruc         "Strider (USA, B-Board 90629B-3, buggy Street Fighter II conversion)"
striderjr         "Strider Hiryu (Japan Resale Ver.)"
striderj          "Strider Hiryu (Japan)"
dynwarjr          "Tenchi wo Kurau (Japan Resale Ver.)"
dynwarj           "Tenchi wo Kurau (Japan)"
wofch             "Tenchi wo Kurau II: Sekiheki no Tatakai (CPS Changer, Japan 921031)"
wofj              "Tenchi wo Kurau II: Sekiheki no Tatakai (Japan 921031)"
kodja             "The King of Dragons (Japan 910805, B-Board 89625B-1)"
kod               "The King of Dragons (World 910805)"
kodj              "The King of Dragons (Japan 910805, B-Board 90629B-3)"
kodu              "The King of Dragons (USA 910910)"
kodr1             "The King of Dragons (World 910711)"
kodr2             "The King of Dragons (World 910731)"
punisherh         "The Punisher (Hispanic 930422)"
punisherj         "The Punisher (Japan 930422)"
punisheru         "The Punisher (USA 930422)"
3wondersb         "Three Wonders (bootleg)"
3wonders          "Three Wonders (World 910520)"
3wondersh         "Three Wonders (hack)"
3wondersu         "Three Wonders (USA 910520)"
3wondersr1        "Three Wonders (World 910513)"
cawingj           "U.S. Navy (Japan 901012)"
varthj            "Varth: Operation Thunderstorm (Japan 920714)"
varth             "Varth: Operation Thunderstorm (World 920714)"
varthjr           "Varth: Operation Thunderstorm (Japan Resale Ver. 920714)"
varthu            "Varth: Operation Thunderstorm (USA 920612)"
varthr1           "Varth: Operation Thunderstorm (World 920612)"
wofu              "Warriors of Fate (USA 921031)"
wofr1             "Warriors of Fate (World 921002)"
willowj           "Willow (Japan)"
willow            "Willow (World)"
willowuo          "Willow (USA Old Ver.)"
willowu           "Willow (USA)"
wonder3           "Wonder 3 (Japan 910520)"
1944j             "1944: The Loop Master (Japan 000620)"
1944              "1944: The Loop Master (USA 000620)"
qsound_hle        "QSound (HLE)"
1944d             "1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg)"
19xxar1           "19XX: The War Against Destiny (Asia 951207)"
19xx              "19XX: The War Against Destiny (USA 951207)"
19xxa             "19XX: The War Against Destiny (Asia 960104)"
19xxb             "19XX: The War Against Destiny (Brazil 951218)"
19xxh             "19XX: The War Against Destiny (Hispanic 951218)"
19xxjr2           "19XX: The War Against Destiny (Japan 951207)"
19xxjr1           "19XX: The War Against Destiny (Japan 951225)"
19xxj             "19XX: The War Against Destiny (Japan 960104, yellow case)"
19xxd             "19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg)"
avspa             "Alien vs. Predator (Asia 940520)"
avsp              "Alien vs. Predator (Euro 940520)"
avspd             "Alien vs. Predator (Euro 940520 Phoenix Edition) (bootleg)"
avsph             "Alien vs. Predator (Hispanic 940520)"
avspj             "Alien vs. Predator (Japan 940520)"
avspu             "Alien vs. Predator (USA 940520)"
armwarar1         "Armored Warriors (Asia 940920)"
