alienchac         "Alien Challenge (China)"
aliencha          "Alien Challenge (World)"
dw2001            "Chuugokuryuu 2001 [Dragon World 2001] (V100 02/21/01 16:05:16, Japan)"
pgm               "PGM (Polygame Master) System BIOS"
drgw3100          "Chuugokuryuu 3 Special (Japan, ver. 100)"
drgw3             "Dragon World 3 / Zhongguo Long 3 / Dungfong Zi Zyu 3 / Chuugokuryuu 3 Special (ver. 106)"
drgw3103          "Chuugokuryuu 3 Special (Japan, ver. 103)"
drgw2j            "Chuugokuryuu II (ver. 100J, Japan)"
drgw2             "Dragon World II (ver. 110X, Export)"
dwpc              "Chuugokuryuu Pretty Chance [Dragon World Pretty Chance] (V101 09/26/01 10:23:26, Japan)"
dmnfrnta          "Demon Front / Moyu Zhanxian (68k label V102, ROM M102XX 06/19/02) (ARM label V102, ROM 05/24/02 S101XX)"
dmnfrnt           "Demon Front / Moyu Zhanxian (68k label V105, ROM M105XX 08/05/02) (ARM label V105, ROM 08/05/02 S105XX)"
dmnfrntb          "Demon Front / Moyu Zhanxian (68k label V103, ROM M103XX 07/05/02) (ARM label V103, ROM 07/05/02 S103XX)"
dmnfrntpcb        "Demon Front V1.1 / Moyu Zhanxian V1.1 (68k label V107KR, ROM M107KR 11/03/03) (ARM label V106KR, ROM 10/16/03 S106KR) (JAMMA PCB)"
ddp2100c          "DoDonPachi - Feng Bao (China, ver. 100)"
ddp2              "DoDonPachi II - Bee Storm (World, ver. 102)"
ddp2101c          "DoDonPachi - Feng Bao (China, ver. 101)"
ddp2c             "DoDonPachi - Feng Bao (China, ver. 102)"
ddp2100t          "DoDonPachi - Feng Bao (Taiwan, ver. 100)"
ddp2101t          "DoDonPachi - Feng Bao (Taiwan, ver. 101)"
ddp2t             "DoDonPachi - Feng Bao (Taiwan, ver. 102)"
ddpdojt           "DoDonPachi Dai-Ou-Jou Tamashii (V201, China)"
ddp2100k          "DoDonPachi II - Bee Storm (Korea, ver. 100)"
ddp2101k          "DoDonPachi II - Bee Storm (Korea, ver. 101)"
ddp2k             "DoDonPachi II - Bee Storm (Korea, ver. 102)"
ddp2100           "DoDonPachi II - Bee Storm (World, ver. 100)"
ddp2101           "DoDonPachi II - Bee Storm (World, ver. 101)"
ddp2100hk         "DoDonPachi II - Fung Bou (Hong Kong, ver. 100)"
ddp2101hk         "DoDonPachi II - Fung Bou (Hong Kong, ver. 101)"
ddp2hk            "DoDonPachi II - Fung Bou (Hong Kong, ver. 102)"
ddp2100j          "DoDonPachi II (Japan, ver. 100)"
ddp2101j          "DoDonPachi II (Japan, ver. 101)"
ddp2j             "DoDonPachi II (Japan, ver. 102)"
drgw3105          "Dragon World 3 / Zhongguo Long 3 / Dungfong Zi Zyu 3 / Chuugokuryuu 3 Special (ver. 105)"
dwex              "Dragon World 3 EX (ver. 100)"
dw2v100x          "Dragon World II (ver. 100X, Export)"
